nro,tribunale,area,dimensione,anno,pendenti,pendenti-ultra-triennali,pendenti-ultra-triennali-perc,iscritti,definiti,durata-media-giorni,durata-media-anni,clearance-rate,magistrati-pianta,magistrati-presenti,magistrati-vacanti,magistrati-tasso-scopertura,personale-pianta,personale-presenze,personale-vacanti,personale-vacanti-perc
1,AGRIGENTO,Isole,Medio grande,2013,2580,1074,42%,2650,2660,551,1.5,1,32,27,5,16%,127,119,8,6%
2,ALESSANDRIA,Nord-Ovest,Medio grande,2013,3797,1242,33%,3489,3201,282,0.8,0.92,29,27,2,7%,102,81,21,21%
3,ANCONA,Centro,Grande,2013,5093,1665,33%,5166,4816,307,0.8,0.93,31,24,7,23%,121,91,30,25%
4,AOSTA,Nord-Ovest,Piccolo,2013,570,105,18%,1107,1133,254,0.7,1.02,8,8,0,0%,34,21,13,38%
5,AREZZO,Centro,Medio grande,2013,2595,704,27%,3138,2851,215,0.6,0.91,21,17,4,19%,72,57,15,21%
6,ASCOLI PICENO,Centro,Medio piccolo,2013,2452,1104,45%,2079,1943,409,1.1,0.93,14,13,1,7%,57,56,1,2%
7,ASTI,Nord-Ovest,Medio grande,2013,2465,442,18%,3429,3155,195,0.5,0.92,24,22,2,8%,71,55,16,23%
8,AVELLINO,Sud,Medio grande,2013,4837,1900,39%,4133,3291,427,1.2,0.8,38,34,4,11%,149,118,31,21%
9,AVEZZANO*,Sud,Piccolo,2013,1460,603,41%,1276,1596,1037,2.8,1.25,11,10,1,9%,47,40,7,15%
10,BARCELLONA POZZO DI GOTTO,Isole,Piccolo,2013,2188,1007,46%,1341,1420,733,2,1.06,15,11,4,27%,56,46,10,18%
11,BARI,Sud,Molto grande o metropolitano,2013,12354,3670,30%,11253,9898,512,1.4,0.88,93,82,11,12%,307,259,49,16%
12,BELLUNO,Nord-Est,Medio piccolo,2013,1113,448,40%,1141,1238,266,0.7,1.09,12,9,3,25%,43,32,11,26%
13,BENEVENTO,Sud,Medio grande,2013,5268,1671,32%,4700,4700,473,1.3,1,35,33,2,6%,150,129,21,14%
14,BERGAMO,Nord-Ovest,Molto grande o metropolitano,2013,9845,2715,28%,9110,7089,152,0.4,0.78,53,44,9,17%,132,99,34,25%
15,BIELLA,Nord-Ovest,Piccolo,2013,1733,648,37%,1709,1647,342,0.9,0.96,12,9,3,25%,39,24,15,38%
16,BOLOGNA,Nord-Est,Molto grande o metropolitano,2013,6784,2175,32%,7940,7151,211,0.6,0.9,78,69,9,12%,243,174,69,28%
17,BOLZANO,Nord-Est,Grande,2013,1664,194,12%,3253,3066,179,0.5,0.94,39,26,13,33%,164,77,87,53%
18,BRESCIA,Nord-Ovest,Molto grande o metropolitano,2013,12265,3205,26%,10585,9800,299,0.8,0.93,71,53,18,25%,162,127,35,22%
19,BRINDISI,Sud,Medio grande,2013,3703,952,26%,3083,3241,508,1.4,1.05,37,35,2,5%,127,126,1,1%
20,BUSTO ARSIZIO,Nord-Ovest,Grande,2013,3849,906,24%,4473,3974,334,0.9,0.89,34,30,4,12%,124,70,54,44%
21,CAGLIARI,Isole,Grande,2013,7861,2990,38%,6981,6201,481,1.3,0.89,60,51,9,15%,216,192,24,11%
22,CALTAGIRONE,Isole,Piccolo,2013,1757,876,50%,1144,1122,475,1.3,0.98,12,12,0,0%,47,40,7,15%
23,CALTANISSETTA,Isole,Piccolo,2013,1637,718,44%,1331,1262,585,1.6,0.95,33,26,7,21%,108,100,8,7%
24,CAMPOBASSO,Sud,Piccolo,2013,1580,425,27%,1647,1364,237,0.7,0.83,11,7,4,36%,58,49,9,16%
25,CASSINO,Centro,Medio grande,2013,2996,1171,39%,2091,2024,742,2,0.97,23,17,6,26%,79,64,15,19%
26,CASTROVILLARI,Sud,Medio piccolo,2013,3304,1748,53%,2118,2239,317,0.9,1.06,29,25,4,14%,100,93,7,7%
27,CATANIA,Isole,Molto grande o metropolitano,2013,16778,8396,50%,8809,7576,490,1.3,0.86,114,102,12,11%,336,277,59,18%
28,CATANZARO,Sud,Medio piccolo,2013,3650,707,19%,7604,8147,318,0.9,1.07,50,34,16,32%,129,119,10,8%
29,CHIETI**,Sud,Medio piccolo,2013,1630,390,24%,2658,2643,249,0.7,0.99,15,15,0,0%,115,51,64,56%
30,CIVITAVECCHIA,Centro,Medio piccolo,2013,2745,988,36%,1987,1669,282,0.8,0.84,22,15,7,32%,61,51,10,16%
31,COMO,Nord-Ovest,Grande,2013,3022,401,13%,4371,4185,160,0.4,0.96,29,26,3,10%,103,72,32,31%
32,COSENZA,Sud,Medio grande,2013,6310,1873,30%,3889,4467,695,1.9,1.15,38,31,7,18%,113,105,8,7%
33,CREMONA,Nord-Ovest,Medio grande,2013,3523,1111,32%,2438,2388,328,0.9,0.98,21,18,3,14%,55,43,12,22%
34,CROTONE,Sud,Piccolo,2013,1450,399,28%,1322,1344,496,1.4,1.02,23,16,7,30%,66,60,6,9%
35,CUNEO,Nord-Ovest,Grande,2013,1885,292,15%,3065,2530,113,0.3,0.83,26,23,3,12%,92,84,8,9%
36,ENNA,Isole,Piccolo,2013,1844,811,44%,1274,1036,580,1.6,0.81,18,19,-1,-6%,60,59,1,2%
37,FERMO,Centro,Medio piccolo,2013,2302,1149,50%,1928,1776,412,1.1,0.92,13,13,0,0%,51,40,11,22%
38,FERRARA,Nord-Est,Medio grande,2013,2042,299,15%,2660,2838,333,0.9,1.07,22,19,3,14%,70,65,5,7%
39,FIRENZE,Centro,Molto grande o metropolitano,2013,7985,2213,28%,9486,9668,305,0.8,1.02,85,70,15,18%,267,203,65,24%
40,FOGGIA,Sud,Grande,2013,13681,3194,23%,13117,10278,370,1,0.78,66,48,18,27%,211,170,41,19%
41,FORLì,Nord-Est,Medio grande,2013,2055,329,16%,2997,2878,217,0.6,0.96,22,18,4,18%,74,61,13,18%
