nro,tribunale,area,dimensione,anno,pendenti,pendenti-ultra-triennali,pendenti-ultra-triennali-perc,iscritti,definiti,durata-media-giorni,durata-media-anni,clearance-rate,magistrati-pianta,magistrati-presenti,magistrati-vacanti,magistrati-tasso-scopertura,personale-pianta,personale-presenze,personale-vacanti,personale-vacanti-perc
42,FROSINONE,Centro,Medio piccolo,2013,3230,939,29%,3056,2961,381,1,0.97,23,21,2,9%,86,69,17,20%
43,GELA,Isole,Piccolo,2013,1544,675,44%,1009,853,594,1.6,0.85,14,14,0,0%,43,33,10,23%
44,GENOVA,Nord-Ovest,Grande,2013,5919,948,16%,9222,7981,172,0.5,0.87,93,83,10,11%,314,243,72,23%
45,GORIZIA,Nord-Est,Piccolo,2013,821,177,22%,1209,961,116,0.3,0.79,12,9,3,25%,37,29,8,22%
46,GROSSETO,Centro,Medio piccolo,2013,2813,875,31%,2288,1875,267,0.7,0.82,16,14,2,13%,63,51,12,19%
47,IMPERIA,Nord-Ovest,Medio piccolo,2013,1745,658,38%,1939,1841,241,0.7,0.95,21,16,5,24%,81,65,16,20%
48,ISERNIA,Sud,Piccolo,2013,1241,458,37%,1014,905,310,0.8,0.89,9,8,1,11%,42,37,5,12%
49,IVREA,Nord-Ovest,Grande,2013,1575,271,17%,1934,1471,222,0.6,0.76,21,17,4,19%,58,40,18,31%
50,LA SPEZIA,Nord-Ovest,Medio piccolo,2013,972,324,33%,445,460,998,2.7,1.03,21,17,4,19%,73,66,7,10%
51,LAGONEGRO,Sud,Piccolo,2013,2042,930,46%,1475,1310,472,1.3,0.89,18,16,2,11%,66,48,18,27%
52,LAMEZIA TERME,Sud,Piccolo,2013,1557,521,33%,1193,1351,787,2.2,1.13,15,14,1,7%,50,48,2,4%
53,LANCIANO**,Sud,Piccolo,2013,963,268,28%,1136,1043,426,1.2,0.92,7,7,0,0%,23,25,-2,-9%
54,LANUSEI,Isole,Piccolo,2013,282,116,41%,314,329,676,1.9,1.05,6,6,0,0%,26,25,1,4%
55,L'AQUILA*,Sud,Piccolo,2013,1145,371,32%,1202,1168,644,1.8,0.97,12,7,5,42%,50,42,8,16%
56,LARINO,Sud,Piccolo,2013,1069,361,34%,1189,1124,200,0.5,0.95,8,8,0,0%,39,25,14,36%
57,LATINA,Centro,Grande,2013,6831,3275,48%,4546,4881,548,1.5,1.07,40,32,8,20%,152,115,37,24%
58,LECCE,Sud,Grande,2013,8971,2507,28%,7344,7331,588,1.6,1,63,56,7,11%,215,210,5,2%
59,LECCO,Nord-Ovest,Medio grande,2013,2485,790,32%,2333,1971,166,0.5,0.84,15,13,2,13%,41,27,14,34%
60,LIVORNO,Centro,Medio grande,2013,3361,846,25%,3079,2761,409,1.1,0.9,25,22,3,12%,90,73,17,19%
61,LOCRI,Sud,Piccolo,2013,1846,758,41%,1094,758,719,2,0.69,29,17,12,41%,79,66,13,16%
62,LODI,Nord-Ovest,Medio grande,2013,2352,383,16%,2885,2313,159,0.4,0.8,17,14,3,18%,66,45,21,32%
63,LUCCA,Centro,Medio grande,2013,3817,816,21%,4195,3949,344,0.9,0.94,28,27,1,4%,106,94,13,12%
64,MACERATA,Centro,Medio grande,2013,3164,1116,35%,3290,3034,239,0.7,0.92,22,20,2,9%,88,72,16,18%
65,MANTOVA,Nord-Ovest,Grande,2013,3029,731,24%,2900,2690,284,0.8,0.93,22,18,4,18%,63,61,2,3%
66,MARSALA,Isole,Medio piccolo,2013,2977,1542,52%,1874,1926,1222,3.3,1.03,24,24,0,0%,84,66,18,21%
67,MASSA,Centro,Medio piccolo,2013,2202,513,23%,2046,1912,205,0.6,0.93,15,14,1,7%,67,55,12,18%
68,MATERA,Sud,Medio piccolo,2013,2708,1244,46%,1620,1295,540,1.5,0.8,16,16,0,0%,57,59,-2,-4%
69,MESSINA,Isole,Medio grande,2013,5673,2038,36%,4259,4009,502,1.4,0.94,48,46,2,4%,167,152,15,9%
70,MILANO,Nord-Ovest,Molto grande o metropolitano,2013,37158,8222,22%,28700,24450,424,1.2,0.85,287,257,30,10%,730,505,225,31%
71,MODENA,Nord-Est,Grande,2013,4114,1025,25%,5458,5214,161,0.4,0.96,39,31,8,21%,106,80,27,25%
72,MONZA,Nord-Ovest,Molto grande o metropolitano,2013,8418,2049,24%,9124,8007,234,0.6,0.88,58,50,8,14%,145,104,42,29%
73,NAPOLI,Sud,Molto grande o metropolitano,2013,30811,8074,26%,35052,20861,346,0.9,0.6,313,276,37,12%,885,633,252,28%
74,NAPOLI NORD,Sud,Molto grande o metropolitano,2013,925,0,0%,1272,315,36,0.1,0.25,81,68,13,16%,147,105,42,29%
75,NOCERA INFERIORE,Sud,Medio grande,2013,3857,1093,28%,3410,3173,409,1.1,0.93,30,27,3,10%,94,79,15,16%
76,NOLA,Sud,Grande,2013,7531,1837,24%,4935,3409,599,1.6,0.69,50,45,5,10%,131,102,29,22%
77,NOVARA,Nord-Ovest,Medio grande,2013,2773,307,11%,2897,2813,311,0.9,0.97,18,14,4,22%,64,47,17,27%
78,NUORO,Isole,Piccolo,2013,1191,432,36%,1026,946,340,0.9,0.92,16,14,2,13%,50,46,4,8%
79,ORISTANO,Isole,Medio piccolo,2013,1285,448,35%,1109,1290,696,1.9,1.16,17,16,1,6%,55,50,5,9%
80,PADOVA,Nord-Est,Grande,2013,6377,1792,28%,8010,8164,304,0.8,1.02,46,39,7,15%,154,132,22,14%
81,PALERMO,Isole,Grande,2013,9905,4706,48%,10781,11206,515,1.4,1.04,128,110,18,14%,419,353,66,16%
82,PALMI,Sud,Piccolo,2013,2700,1314,49%,1745,1922,441,1.2,1.1,31,26,5,16%,92,78,14,15%
83,PAOLA,Sud,Piccolo,2013,1364,640,47%,929,967,860,2.4,1.04,17,15,2,12%,56,49,7,13%
84,PARMA,Nord-Est,Grande,2013,2913,690,24%,3829,3970,272,0.7,1.04,27,20,7,26%,83,64,19,23%
85,PATTI,Isole,Piccolo,2013,1972,863,44%,1529,1678,605,1.7,1.1,18,18,0,0%,63,49,14,22%
86,PAVIA,Nord-Ovest,Grande,2013,6201,1931,31%,4796,4361,268,0.7,0.91,36,32,4,11%,131,85,46,35%
87,PERUGIA,Centro,Grande,2013,6193,2261,37%,4273,3399,280,0.8,0.8,34,28,6,18%,125,91,34,27%
88,PESARO,Centro,Medio piccolo,2013,2392,652,27%,2702,2607,261,0.7,0.96,16,14,2,13%,63,46,17,27%
89,PESCARA,Sud,Medio grande,2013,3742,933,25%,3679,3215,244,0.7,0.87,26,22,4,15%,101,82,19,19%
90,PIACENZA,Nord-Est,Medio piccolo,2013,2044,684,33%,2327,2037,113,0.3,0.88,16,12,4,25%,55,50,5,9%
91,PISA,Centro,Medio grande,2013,3558,1134,32%,3993,4127,270,0.7,1.03,25,20,5,20%,91,83,8,9%
92,PISTOIA,Centro,Medio piccolo,2013,3286,1348,41%,3190,2990,306,0.8,0.94,20,17,3,15%,73,51,22,30%
93,PORDENONE,Nord-Est,Medio grande,2013,2056,576,28%,2572,2302,155,0.4,0.9,20,17,3,15%,69,53,16,23%
94,POTENZA,Sud,Medio piccolo,2013,4237,1817,43%,2504,2161,634,1.7,0.86,34,27,7,21%,113,97,16,14%
95,PRATO,Centro,Medio piccolo,2013,2473,694,28%,3090,2850,224,0.6,0.92,22,20,2,9%,64,45,19,30%
96,RAGUSA,Isole,Medio grande,2013,4442,1915,43%,3352,3633,645,1.8,1.08,25,21,4,16%,92,80,12,13%
97,RAVENNA,Nord-Est,Medio grande,2013,1983,297,15%,3081,2977,183,0.5,0.97,23,19,4,17%,84,67,17,20%
98,REGGIO CALABRIA,Sud,Medio piccolo,2013,2653,999,38%,2485,2949,478,1.3,1.19,59,40,19,32%,171,146,25,15%
99,REGGIO EMILIA,Nord-Est,Grande,2013,5051,1395,28%,5362,4650,173,0.5,0.87,27,19,8,30%,68,53,15,22%
100,RIETI,Centro,Piccolo,2013,1642,408,25%,1311,1217,390,1.1,0.93,13,11,2,15%,49,36,13,27%
101,RIMINI,Nord-Est,Medio grande,2013,2158,432,20%,2947,3159,438,1.2,1.07,22,18,4,18%,69,49,20,29%
102,ROMA,Centro,Molto grande o metropolitano,2013,51332,5714,11%,55560,54951,365,1,0.99,370,338,32,9%,1199,880,319,27%
103,ROVERETO,Nord-Est,Piccolo,2013,580,129,22%,1150,1074,96,0.3,0.93,9,7,2,22%,33,25,8,24%
104,ROVIGO,Nord-Est,Medio grande,2013,2185,350,16%,2244,2005,239,0.7,0.89,19,14,5,26%,69,59,10,14%
105,SALERNO,Sud,Grande,2013,13445,5595,42%,10474,8972,360,1,0.86,73,62,11,15%,239,187,52,22%
106,SANTA MARIA CAPUA VETERE,Sud,Grande,2013,10006,2481,25%,10546,8868,336,0.9,0.84,89,78,11,12%,275,188,87,32%
107,SASSARI,Isole,Medio grande,2013,3074,1202,39%,2850,2763,476,1.3,0.97,27,22,5,19%,94,96,-2,-2%
108,SAVONA,Nord-Ovest,Medio piccolo,2013,1987,497,25%,2528,2268,215,0.6,0.9,24,21,3,13%,91,74,18,19%
109,SCIACCA,Isole,Piccolo,2013,803,362,45%,650,728,1357,3.7,1.12,10,7,3,30%,44,55,-11,-25%
110,SIENA,Centro,Medio piccolo,2013,3010,709,24%,2933,2771,298,0.8,0.94,19,18,1,5%,63,43,20,32%
111,SIRACUSA,Isole,Medio grande,2013,6342,3044,48%,3872,3476,811,2.2,0.9,35,28,7,20%,132,127,5,4%
112,SONDRIO,Nord-Ovest,Medio piccolo,2013,1065,237,22%,1169,991,273,0.7,0.85,12,10,2,17%,42,38,4,10%
113,SPOLETO,Centro,Medio piccolo,2013,1326,300,23%,1179,729,235,0.6,0.62,14,11,3,21%,43,33,10,23%
114,SULMONA*,Sud,Piccolo,2013,658,195,30%,701,766,433,1.2,1.09,6,6,0,0%,33,22,11,33%
115,TARANTO,Sud,Grande,2013,8166,3484,43%,7453,7501,437,1.2,1.01,59,54,5,8%,181,143,38,21%
116,TEMPIO PAUSANIA,Isole,Piccolo,2013,3062,1422,46%,1473,852,177,0.5,0.58,12,11,1,8%,43,37,6,14%
117,TERAMO,Sud,Medio piccolo,2013,4228,1088,26%,3873,3358,356,1,0.87,22,20,2,9%,78,75,3,4%
118,TERMINI IMERESE,Isole,Medio grande,2013,2180,1006,46%,1648,1880,967,2.6,1.14,22,17,5,23%,89,106,-17,-19%
119,TERNI,Centro,Medio piccolo,2013,2445,518,21%,2595,2272,268,0.7,0.88,20,17,3,15%,75,61,14,19%
120,TIVOLI,Centro,Grande,2013,3787,1341,35%,3230,2914,268,0.7,0.9,23,17,6,26%,75,65,10,13%
121,TORINO,Nord-Ovest,Molto grande o metropolitano,2013,16341,3151,19%,22232,22761,302,0.8,1.02,162,141,21,13%,485,362,123,25%
122,TORRE ANNUNZIATA,Sud,Grande,2013,5031,1594,32%,7639,7209,282,0.8,0.94,51,47,4,8%,155,135,20,13%
123,TRANI,Sud,Grande,2013,4852,1280,26%,4042,3517,377,1,0.87,38,32,6,16%,136,126,10,7%
124,TRAPANI,Isole,Medio piccolo,2013,1959,590,30%,1893,1947,603,1.7,1.03,25,20,5,20%,79,79,0,0%
125,TRENTO,Nord-Est,Medio grande,2013,1411,352,25%,2986,2757,149,0.4,0.92,21,20,1,5%,80,56,24,30%
126,TREVISO,Nord-Est,Grande,2013,7011,2228,32%,7483,6865,196,0.5,0.92,40,30,10,25%,110,90,20,18%
127,TRIESTE,Nord-Est,Medio piccolo,2013,947,57,6%,2012,1828,142,0.4,0.91,27,21,6,22%,87,65,22,25%
128,UDINE,Nord-Est,Grande,2013,3062,642,21%,4313,3789,123,0.3,0.88,36,32,4,11%,126,104,22,17%
129,URBINO,Centro,Piccolo,2013,977,326,33%,865,788,343,0.9,0.91,6,5,1,17%,21,15,6,29%
130,VALLO DELLA LUCANIA,Sud,Piccolo,2013,1321,628,48%,1020,1066,567,1.6,1.05,12,9,3,25%,39,27,12,31%
131,VARESE,Nord-Ovest,Medio grande,2013,2903,1041,36%,3075,2822,146,0.4,0.92,23,18,5,22%,66,49,18,27%
132,VASTO**,Sud,Piccolo,2013,1024,403,39%,1039,988,292,0.8,0.95,7,6,1,14%,31,27,4,13%
133,VELLETRI,Centro,Grande,2013,6071,2336,38%,4072,3303,367,1,0.81,37,28,9,24%,139,111,28,20%
134,VENEZIA,Nord-Est,Grande,2013,4926,1156,23%,5861,4949,154,0.4,0.84,61,49,12,20%,194,147,47,24%
135,VERBANIA,Nord-Ovest,Medio piccolo,2013,1065,364,34%,1375,1517,382,1,1.1,14,11,3,21%,46,43,3,7%
136,VERCELLI,Nord-Ovest,Medio piccolo,2013,2417,768,32%,2045,1984,377,1,0.97,19,18,1,5%,62,40,22,35%
137,VERONA,Nord-Est,Grande,2013,5926,1205,20%,8238,7672,275,0.8,0.93,51,38,13,25%,153,123,30,20%
138,VIBO VALENTIA,Sud,Piccolo,2013,1432,406,28%,1386,1645,690,1.9,1.19,20,15,5,25%,63,52,11,17%
139,VICENZA,Nord-Est,Grande,2013,6791,1989,29%,7109,6235,163,0.4,0.88,42,35,7,17%,129,107,22,17%
140,VITERBO,Centro,Medio piccolo,2013,2226,811,36%,2076,1727,291,0.8,0.83,19,16,3,16%,69,59,10,14%
