nro,tribunale,area,dimensione,distretto,regione,anno,pendenti,pendenti-ultra-triennali,pendenti-ultra-triennali-perc,iscritti,definiti,durata-media-giorni,durata-media-anni,clearance-rate,magistrati-pianta,magistrati-presenti,magistrati-vacanti,magistrati-tasso-scopertura,personale-pianta,personale-presenze,personale-vacanti,personale-vacanti-perc,obiettivo-ultra-triennali
20,BUSTO ARSIZIO,Nord-Ovest,Grande,Milano,Lombardia,2017,9759,2192,37%,16114,16434,365,1,1.04,34,26,8,24%,124,70,54,44%,782
21,CAGLIARI,Isole,Grande,Cagliari,Sardegna,2017,35935,12984,54%,24387,25609,365,1,1.16,60,52,8,13%,216,192,24,11%,1
22,CALTAGIRONE,Isole,Piccolo,Catania,Sicilia,2017,7929,4146,65%,3732,4473,365,1,1.33,12,8,4,33%,47,40,7,15%,998
23,CALTANISSETTA,Isole,Piccolo,Caltanissetta,Sicilia,2017,7198,1412,53%,5727,5661,365,1,0.97,33,28,5,15%,108,100,8,7%,771
24,CAMPOBASSO,Sud,Piccolo,Campobasso,Molise,2017,5731,1076,35%,5968,5596,365,1,1.15,11,9,2,18%,58,49,9,16%,380
25,CASSINO,Centro,Medio grande,Roma,Lazio,2017,13565,3920,39%,10271,10062,365,1,1.03,23,15,8,35%,79,64,15,19%,2746
26,CASTROVILLARI,Sud,Medio piccolo,Catanzaro,Calabria,2017,22681,10472,62%,9094,10402,365,1,1.36,29,26,3,10%,100,93,7,7%,4575
27,CATANIA,Isole,Molto grande o metropolitano,Catania,Sicilia,2017,74494,26243,62%,41553,41983,365,1,0.96,114,105,9,8%,336,277,59,18%,30594
28,CATANZARO,Sud,Medio piccolo,Catanzaro,Calabria,2017,21808,7032,16%,16664,18842,365,1,1.26,50,42,8,16%,129,119,10,8%,1
29,CHIETI,Sud,Medio piccolo,Aquila,Abruzzo,2017,4221,675,34%,6584,6948,365,1,1.16,15,11,4,27%,115,51,64,56%,1
30,CIVITAVECCHIA,Centro,Medio piccolo,Roma,Lazio,2017,14205,4790,34%,8716,8379,365,1,0.95,22,16,6,27%,61,51,10,16%,1531
31,COMO,Nord-Ovest,Grande,Milano,Lombardia,2017,8009,876,19%,12679,12965,365,1,1.09,29,26,3,10%,103,72,32,31%,628
32,COSENZA,Sud,Medio grande,Catanzaro,Calabria,2017,22015,7537,53%,13121,13516,365,1,0.92,38,30,8,21%,113,105,8,7%,3616
33,CREMONA,Nord-Ovest,Medio grande,Brescia,Lombardia,2017,6082,1645,47%,7442,8013,365,1,1.26,21,15,6,29%,55,43,12,22%,482
34,CROTONE,Sud,Piccolo,Catanzaro,Calabria,2017,9007,3073,38%,5432,6314,365,1,1.25,23,18,5,22%,66,60,6,9%,1779
35,CUNEO,Nord-Ovest,Grande,Torino,Piemonte,2017,5436,984,35%,9064,10054,365,1,1.28,26,24,2,8%,92,84,8,9%,426
36,ENNA,Isole,Piccolo,Caltanissetta,Sicilia,2017,7019,2089,51%,4885,4899,365,1,0.98,18,17,1,6%,60,59,1,2%,1231
37,FERMO,Centro,Medio piccolo,Ancona,Marche,2017,6271,2611,63%,5627,5858,365,1,1.04,13,13,0,0%,51,40,11,22%,491
38,FERRARA,Nord-Est,Medio grande,Bologna,Emilia Romagna,2017,3564,260,11%,8260,8647,365,1,1.02,22,18,4,18%,70,65,5,7%,492
39,FIRENZE,Centro,Molto grande o metropolitano,Firenze,Toscana,2017,35256,7619,39%,32025,32712,365,1,1.03,85,72,13,15%,267,203,65,24%,2227
40,FOGGIA,Sud,Grande,Bari,Puglia,2017,45534,18477,41%,23287,31911,365,1,0.99,66,53,13,20%,211,170,41,19%,1
41,FORLì,Nord-Est,Medio grande,Bologna,Emilia Romagna,2017,8016,1626,29%,9867,10128,365,1,1.02,22,18,4,18%,74,61,13,18%,1196
42,FROSINONE,Centro,Medio piccolo,Roma,Lazio,2017,10549,2756,38%,10395,11518,365,1,1.01,23,20,3,13%,86,69,17,20%,1156
43,GELA,Isole,Piccolo,Caltanissetta,Sicilia,2017,5801,1706,54%,3764,4418,365,1,1.23,14,13,1,7%,43,33,10,23%,358
44,GENOVA,Nord-Ovest,Grande,Genova,Liguria,2017,18630,2701,36%,30549,31375,365,1,1.1,93,85,8,9%,314,243,72,23%,2471
45,GORIZIA,Nord-Est,Piccolo,Trieste,Friuli Venezia Giulia,2017,2280,352,23%,4828,5162,365,1,1.22,12,10,2,17%,37,29,8,22%,154
46,GROSSETO,Centro,Medio piccolo,Firenze,Toscana,2017,8756,3762,51%,6895,7643,365,1,1.07,16,13,3,19%,63,51,12,19%,4274
47,IMPERIA,Nord-Ovest,Medio piccolo,Genova,Liguria,2017,6353,1820,43%,5961,6234,365,1,1.06,21,15,6,29%,81,65,16,20%,718
48,ISERNIA,Sud,Piccolo,Campobasso,Molise,2017,4016,1706,41%,2583,4067,365,1,1.54,9,6,3,33%,42,37,5,12%,1770
49,IVREA,Nord-Ovest,Grande,Torino,Piemonte,2017,7288,824,19%,11491,11190,365,1,0.93,21,20,1,5%,58,40,18,31%,377
50,LA SPEZIA,Nord-Ovest,Medio piccolo,Genova,Liguria,2017,5548,1299,32%,7123,7232,365,1,1.04,21,19,2,10%,73,66,7,10%,391
51,LAGONEGRO,Sud,Piccolo,Potenza,Basilicata,2017,10454,4567,57%,4202,3876,365,1,1.01,18,7,11,61%,66,48,18,27%,1
52,LAMEZIA TERME,Sud,Piccolo,Catanzaro,Calabria,2017,10904,5548,37%,4431,5235,365,1,0.97,15,13,2,13%,50,48,2,4%,2740
53,LANCIANO,Sud,Piccolo,Aquila,Abruzzo,2017,2305,291,34%,2930,2984,365,1,1.02,7,6,1,14%,23,25,-2,-9%,241
54,LANUSEI,Isole,Piccolo,Cagliari,Sardegna,2017,1624,383,47%,1211,1131,365,1,1.16,6,6,0,0%,26,25,1,4%,119
55,L'AQUILA,Sud,Piccolo,Aquila,Abruzzo,2017,5785,1216,38%,5533,5310,365,1,1.14,12,11,1,8%,50,42,8,16%,550
56,LARINO,Sud,Piccolo,Campobasso,Molise,2017,3532,1134,44%,2930,3374,365,1,1.17,8,7,1,13%,39,25,14,36%,596
57,LATINA,Centro,Grande,Roma,Lazio,2017,29865,12964,56%,15746,16371,365,1,1.1,40,33,7,18%,152,115,37,24%,6989
58,LECCE,Sud,Grande,Lecce,Puglia,2017,39156,9479,34%,27408,29166,365,1,1.08,63,57,6,10%,215,210,5,2%,8981
59,LECCO,Nord-Ovest,Medio grande,Milano,Lombardia,2017,5234,1548,52%,6210,6447,365,1,0.96,15,14,1,7%,41,27,14,34%,339
60,LIVORNO,Centro,Medio grande,Firenze,Toscana,2017,7977,2005,46%,10447,11293,365,1,1.11,25,19,6,24%,90,73,17,19%,1313
61,LOCRI,Sud,Piccolo,Reggio Calabria,Calabria,2017,10255,3646,55%,4763,6152,365,1,1.22,29,25,4,14%,79,66,13,16%,705
62,LODI,Nord-Ovest,Medio grande,Milano,Lombardia,2017,5565,921,26%,7991,8433,365,1,1.13,17,8,9,53%,66,45,21,32%,649
63,LUCCA,Centro,Medio grande,Firenze,Toscana,2017,10549,2433,34%,12232,13667,365,1,1.02,28,24,4,14%,106,94,13,12%,3311
64,MACERATA,Centro,Medio grande,Ancona,Marche,2017,9990,4280,58%,8144,9100,365,1,1.17,22,19,3,14%,88,72,16,18%,2787
65,MANTOVA,Nord-Ovest,Grande,Brescia,Lombardia,2017,6104,1503,43%,9257,9624,365,1,1.11,22,15,7,32%,63,61,2,3%,523
66,MARSALA,Isole,Medio piccolo,Palermo,Sicilia,2017,5311,1056,51%,6701,7293,365,1,1.37,24,23,1,4%,84,66,18,21%,628
67,MASSA,Centro,Medio piccolo,Genova,Toscana,2017,6019,1644,37%,6755,7234,365,1,1.14,15,12,3,20%,67,55,12,18%,2208
68,MATERA,Sud,Medio piccolo,Potenza,Basilicata,2017,8642,3673,62%,5435,6715,365,1,1.35,16,16,0,0%,57,59,-2,-4%,2589
69,MESSINA,Isole,Medio grande,Messina,Sicilia,2017,30757,13449,40%,14996,16163,365,1,1.11,48,43,5,10%,167,152,15,9%,2994
70,MILANO,Nord-Ovest,Molto grande o metropolitano,Milano,Lombardia,2017,79363,19639,54%,102495,107252,365,1,1.05,287,262,25,9%,730,505,225,31%,16466
71,MODENA,Nord-Est,Grande,Bologna,Emilia Romagna,2017,13749,3688,39%,19220,21110,365,1,1.1,39,31,8,21%,106,80,27,25%,2256
72,MONZA,Nord-Ovest,Molto grande o metropolitano,Milano,Lombardia,2017,18195,2721,27%,27505,29532,365,1,1.18,58,54,4,7%,145,104,42,29%,2299
73,NAPOLI,Sud,Molto grande o metropolitano,Napoli,Campania,2017,108538,29236,36%,79290,85078,365,1,0.98,313,286,27,9%,885,633,252,28%,14542
74,NAPOLI NORD,Sud,Molto grande o metropolitano,Napoli,Campania,2017,32457,1589,7%,32668,28171,365,1,0.79,81,77,4,5%,147,105,42,29%,623
75,NOCERA INFERIORE,Sud,Medio grande,Salerno,Campania,2017,25117,7848,35%,14728,14736,365,1,1.01,30,19,11,37%,94,79,15,16%,1
76,NOLA,Sud,Grande,Napoli,Campania,2017,30814,9444,31%,18329,18001,365,1,0.98,50,35,15,30%,131,102,29,22%,6574
77,NOVARA,Nord-Ovest,Medio grande,Torino,Piemonte,2017,6828,1666,35%,8329,8681,365,1,1.06,18,14,4,22%,64,47,17,27%,644
78,NUORO,Isole,Piccolo,Sassari,Sardegna,2017,4095,1624,54%,3269,3786,365,1,1.26,16,11,5,31%,50,46,4,8%,464
79,ORISTANO,Isole,Medio piccolo,Cagliari,Sardegna,2017,4213,1101,44%,4326,4659,365,1,1.19,17,14,3,18%,55,50,5,9%,1059
80,PADOVA,Nord-Est,Grande,Venezia,Veneto,2017,16980,4572,47%,21064,22909,365,1,1.15,46,35,11,24%,154,132,22,14%,1603
81,PALERMO,Isole,Grande,Palermo,Sicilia,2017,43785,7773,52%,42201,42407,365,1,1.01,128,112,16,13%,419,353,66,16%,2152
82,PALMI,Sud,Piccolo,Reggio Calabria,Calabria,2017,9030,2725,61%,6394,7766,365,1,1.26,31,25,6,19%,92,78,14,15%,1362
83,PAOLA,Sud,Piccolo,Catanzaro,Calabria,2017,8734,3720,45%,4304,4775,365,1,0.71,17,15,2,12%,56,49,7,13%,1053
84,PARMA,Nord-Est,Grande,Bologna,Emilia Romagna,2017,11175,3494,40%,11820,12761,365,1,1.06,27,25,2,7%,83,64,19,23%,1366
85,PATTI,Isole,Piccolo,Messina,Sicilia,2017,15859,6930,43%,6652,7081,365,1,1.57,18,17,1,6%,63,49,14,22%,2284
86,PAVIA,Nord-Ovest,Grande,Milano,Lombardia,2017,13788,3744,40%,16124,17329,365,1,1.11,36,30,6,17%,131,85,46,35%,570
87,PERUGIA,Centro,Grande,Perugia ,Umbria,2017,19443,7944,55%,14254,14876,365,1,1.1,34,28,6,18%,125,91,34,27%,2710
88,PESARO,Centro,Medio piccolo,Ancona,Marche,2017,6274,1450,39%,7251,7435,365,1,1.17,16,14,2,13%,63,46,17,27%,971
89,PESCARA,Sud,Medio grande,Aquila,Abruzzo,2017,11457,2967,35%,12889,12994,365,1,1.07,26,24,2,8%,101,82,19,19%,1
90,PIACENZA,Nord-Est,Medio piccolo,Bologna,Emilia Romagna,2017,6337,2256,54%,7138,7691,365,1,1.07,16,10,6,38%,55,50,5,9%,1
91,PISA,Centro,Medio grande,Firenze,Toscana,2017,13743,4950,46%,11810,12019,365,1,1.07,25,22,3,12%,91,83,8,9%,3630
92,PISTOIA,Centro,Medio piccolo,Firenze,Toscana,2017,8734,3021,55%,8461,8975,365,1,1.06,20,14,6,30%,73,51,22,30%,94
93,PORDENONE,Nord-Est,Medio grande,Trieste,Friuli Venezia Giulia,2017,5618,1320,42%,7768,8505,365,1,1.2,20,19,1,5%,69,53,16,23%,635
94,POTENZA,Sud,Medio piccolo,Potenza,Basilicata,2017,20026,9500,45%,8364,8555,365,1,1.04,34,24,10,29%,113,97,16,14%,1740
95,PRATO,Centro,Medio piccolo,Firenze,Toscana,2017,6906,1767,42%,8407,9476,365,1,1.15,22,13,9,41%,64,45,19,30%,755
96,RAGUSA,Isole,Medio grande,Catania,Sicilia,2017,19639,7569,42%,12141,11830,365,1,1.07,25,22,3,12%,92,80,12,13%,3344
97,RAVENNA,Nord-Est,Medio grande,Bologna,Emilia Romagna,2017,5650,898,38%,8919,9451,365,1,1.05,23,18,5,22%,84,67,17,20%,372
98,REGGIO CALABRIA,Sud,Medio piccolo,Reggio Calabria,Calabria,2017,18117,5280,36%,10558,10477,365,1,0.77,59,53,6,10%,171,146,25,15%,1
99,REGGIO EMILIA,Nord-Est,Grande,Bologna,Emilia Romagna,2017,9743,2020,38%,13761,13966,365,1,1.09,27,23,4,15%,68,53,15,22%,860
100,RIETI,Centro,Piccolo,Roma,Lazio,2017,4808,1228,36%,4532,5269,365,1,1.27,13,4,9,69%,49,36,13,27%,1444
101,RIMINI,Nord-Est,Medio grande,Bologna,Emilia Romagna,2017,7424,1067,25%,9918,10565,365,1,1.13,22,18,4,18%,69,49,20,29%,907
102,ROMA,Centro,Molto grande o metropolitano,Roma,Lazio,2017,168364,26443,18%,167351,164642,365,1,1,370,336,34,9%,1199,880,319,27%,16902
103,ROVERETO,Nord-Est,Piccolo,Trento,Trentino Alto Adige,2017,1572,324,39%,3546,3619,365,1,1.05,9,8,1,11%,33,25,8,24%,302
104,ROVIGO,Nord-Est,Medio grande,Venezia,Veneto,2017,6631,1520,27%,8444,8435,365,1,1,19,14,5,26%,69,59,10,14%,775
105,SALERNO,Sud,Grande,Salerno,Campania,2017,47334,21443,57%,25950,31543,365,1,1.16,73,68,5,7%,239,187,52,22%,13918
106,SANTA MARIA CAPUA VETERE,Sud,Grande,Napoli,Campania,2017,51304,21492,31%,34006,32649,365,1,0.78,89,69,20,22%,275,188,87,32%,6036
107,SASSARI,Isole,Medio grande,Sassari,Sardegna,2017,8875,2031,43%,9566,10111,365,1,1.07,27,23,4,15%,94,96,-2,-2%,1066
108,SAVONA,Nord-Ovest,Medio piccolo,Genova,Liguria,2017,4777,676,30%,8654,9719,365,1,1.11,24,22,2,8%,91,74,18,19%,124
109,SCIACCA,Isole,Piccolo,Palermo,Sicilia,2017,3437,528,46%,2977,2993,365,1,1.15,10,9,1,10%,44,55,-11,-25%,499
110,SIENA,Centro,Medio piccolo,Firenze,Toscana,2017,9160,2892,39%,8241,8812,365,1,0.9,19,16,3,16%,63,43,20,32%,2069
111,SIRACUSA,Isole,Medio grande,Catania,Sicilia,2017,21648,7900,52%,14645,14206,365,1,0.98,35,26,9,26%,132,127,5,4%,1335
112,SONDRIO,Nord-Ovest,Medio piccolo,Milano,Lombardia,2017,2560,570,38%,3259,3539,365,1,1.08,12,7,5,42%,42,38,4,10%,198
113,SPOLETO,Centro,Medio piccolo,Perugia ,Umbria,2017,6991,2066,34%,5417,5269,365,1,1.01,14,10,4,29%,43,33,10,23%,361
114,SULMONA,Sud,Piccolo,Aquila,Abruzzo,2017,1681,240,37%,2041,2329,365,1,1.29,6,5,1,17%,33,22,11,33%,1
115,TARANTO,Sud,Grande,Taranto,Puglia,2017,28302,8375,55%,23036,24852,365,1,1.14,59,49,10,17%,181,143,38,21%,6395
116,TEMPIO PAUSANIA,Isole,Piccolo,Sassari,Sardegna,2017,9717,4795,66%,4973,4443,365,1,0.94,12,6,6,50%,43,37,6,14%,1152
117,TERAMO,Sud,Medio piccolo,Aquila,Abruzzo,2017,14023,4821,42%,10133,10293,365,1,1.18,22,18,4,18%,78,75,3,4%,1
118,TERMINI IMERESE,Isole,Medio grande,Palermo,Sicilia,2017,9384,1834,45%,8748,8213,365,1,0.98,22,20,2,9%,89,106,-17,-19%,1854
119,TERNI,Centro,Medio piccolo,Perugia ,Umbria,2017,7438,1873,39%,6785,7310,365,1,1.18,20,18,2,10%,75,61,14,19%,1049
120,TIVOLI,Centro,Grande,Roma,Lazio,2017,16370,4004,40%,14251,13754,365,1,0.82,23,20,3,13%,75,65,10,13%,1337
121,TORINO,Nord-Ovest,Molto grande o metropolitano,Torino,Piemonte,2017,39497,5936,31%,58067,58585,365,1,0.97,162,141,21,13%,485,362,123,25%,2398
122,TORRE ANNUNZIATA,Sud,Grande,Napoli,Campania,2017,20256,5263,48%,16797,17609,365,1,1.1,51,47,4,8%,155,135,20,13%,4083
123,TRANI,Sud,Grande,Bari,Puglia,2017,22386,7298,34%,15207,17422,365,1,1.28,38,32,6,16%,136,126,10,7%,2860
124,TRAPANI,Isole,Medio piccolo,Palermo,Sicilia,2017,6111,819,30%,6922,7224,365,1,1.17,25,23,2,8%,79,79,0,0%,335
125,TRENTO,Nord-Est,Medio grande,Trento,Trentino Alto Adige,2017,6417,1034,34%,11837,12055,365,1,1.07,21,20,1,5%,80,56,24,30%,462
126,TREVISO,Nord-Est,Grande,Venezia,Veneto,2017,18318,5779,52%,21191,22322,365,1,1.03,40,35,5,13%,110,90,20,18%,1189
127,TRIESTE,Nord-Est,Medio piccolo,Trieste,Friuli Venezia Giulia,2017,5730,421,11%,9999,9835,365,1,0.98,27,22,5,19%,87,65,22,25%,201
128,UDINE,Nord-Est,Grande,Trieste,Friuli Venezia Giulia,2017,6985,1386,40%,11447,12338,365,1,1.15,36,33,3,8%,126,104,22,17%,451
129,URBINO,Centro,Piccolo,Ancona,Marche,2017,2613,984,56%,2358,2498,365,1,0.9,6,6,0,0%,21,15,6,29%,210
130,VALLO DELLA LUCANIA,Sud,Piccolo,Salerno,Campania,2017,11328,5658,48%,4069,3654,365,1,1.12,12,10,2,17%,39,27,12,31%,1108
131,VARESE,Nord-Ovest,Medio grande,Milano,Lombardia,2017,7784,2190,52%,8653,9108,365,1,1.11,23,18,5,22%,66,49,18,27%,586
132,VASTO,Sud,Piccolo,Aquila,Abruzzo,2017,2702,661,40%,2957,2941,365,1,0.97,7,6,1,14%,31,27,4,13%,236
133,VELLETRI,Centro,Grande,Roma,Lazio,2017,22283,5311,40%,19292,19338,365,1,0.9,37,32,5,14%,139,111,28,20%,1401
134,VENEZIA,Nord-Est,Grande,Venezia,Veneto,2017,20505,3605,39%,22257,22101,365,1,1.11,61,47,14,23%,194,147,47,24%,1
135,VERBANIA,Nord-Ovest,Medio piccolo,Torino,Piemonte,2017,2794,559,41%,4593,4741,365,1,1.04,14,13,1,7%,46,43,3,7%,44
136,VERCELLI,Nord-Ovest,Medio piccolo,Torino,Piemonte,2017,3924,850,38%,6971,7383,365,1,1.11,19,14,5,26%,62,40,22,35%,403
137,VERONA,Nord-Est,Grande,Venezia,Veneto,2017,17143,2904,25%,23355,25239,365,1,1.16,51,46,5,10%,153,123,30,20%,1818
138,VIBO VALENTIA,Sud,Piccolo,Catanzaro,Calabria,2017,11839,5523,25%,4618,4822,365,1,1,20,11,9,45%,63,52,11,17%,1099
139,VICENZA,Nord-Est,Grande,Venezia,Veneto,2017,19876,7679,50%,18900,22445,365,1,1.11,42,37,5,12%,129,107,22,17%,10856
140,VITERBO,Centro,Medio piccolo,Roma,Lazio,2017,9812,3043,42%,8159,8899,365,1,1.14,19,19,0,0%,69,59,10,14%,1183
