nro,tribunale,area,dimensione,distretto,regione,anno,pendenti,pendenti-ultra-triennali,pendenti-ultra-triennali-perc,iscritti,definiti,durata-media-giorni,durata-media-anni,clearance-rate,magistrati-pianta,magistrati-presenti,magistrati-vacanti,magistrati-tasso-scopertura,personale-pianta,personale-presenze,personale-vacanti,personale-vacanti-perc,obiettivo-ultra-triennali
1,AGRIGENTO,Isole,Medio grande,Palermo,Sicilia,2017,12609,3301,55%,8628,9369,365,1,1.07,32,21,11,34%,127,119,8,6%,2654
2,ALESSANDRIA,Nord-Ovest,Medio grande,Torino,Piemonte,2017,8037,2070,42%,11050,12323,365,1,1.23,29,23,6,21%,102,81,21,21%,437
3,ANCONA,Centro,Grande,Ancona,Marche,2017,13664,4048,56%,15230,16240,365,1,1.07,31,27,4,13%,121,91,30,25%,1237
4,AOSTA,Nord-Ovest,Piccolo,Torino,Valle d'Aosta,2017,1467,143,16%,3614,3687,365,1,1.08,8,8,0,0%,34,21,13,38%,67
5,AREZZO,Centro,Medio grande,Firenze,Toscana,2017,6648,1447,34%,10294,11321,365,1,1.21,21,17,4,19%,72,57,15,21%,1511
6,ASCOLI PICENO,Centro,Medio piccolo,Ancona,Marche,2017,6346,1959,46%,5161,6032,365,1,1.22,14,11,3,21%,57,56,1,2%,2624
7,ASTI,Nord-Ovest,Medio grande,Torino,Piemonte,2017,5993,1364,47%,9344,9433,365,1,1.04,24,21,3,13%,71,55,16,23%,1
8,AVELLINO,Sud,Medio grande,Napoli,Campania,2017,19023,7233,53%,11143,11830,365,1,1.11,38,34,4,11%,149,118,31,21%,2222
9,AVEZZANO,Sud,Piccolo,Aquila,Abruzzo,2017,4318,917,34%,4410,5089,365,1,1.13,11,7,4,36%,47,40,7,15%,695
10,BARCELLONA POZZO DI GOTTO,Isole,Piccolo,Messina,Sicilia,2017,13496,7592,58%,4825,6296,365,1,1.22,15,13,2,13%,56,46,10,18%,11776
11,BARI,Sud,Molto grande o metropolitano,Bari,Puglia,2017,60743,23416,43%,39684,47381,365,1,1.13,93,77,16,17%,307,259,49,16%,7978
12,BELLUNO,Nord-Est,Medio piccolo,Venezia,Veneto,2017,2945,862,47%,3538,3863,365,1,1.18,12,10,2,17%,43,32,11,26%,366
13,BENEVENTO,Sud,Medio grande,Napoli,Campania,2017,18175,6393,45%,12372,13812,365,1,1.15,35,32,3,9%,150,129,21,14%,7767
14,BERGAMO,Nord-Ovest,Molto grande o metropolitano,Brescia,Lombardia,2017,22625,6948,44%,24261,24713,365,1,0.89,53,41,12,23%,132,99,34,25%,3666
15,BIELLA,Nord-Ovest,Piccolo,Torino,Piemonte,2017,3784,933,43%,4566,4972,365,1,1.2,12,10,2,17%,39,24,15,38%,1150
16,BOLOGNA,Nord-Est,Molto grande o metropolitano,Bologna,Emilia Romagna,2017,23443,3395,37%,33611,34663,365,1,1.15,78,75,3,4%,243,174,69,28%,1955
17,BOLZANO,Nord-Est,Grande,Bolzano,Trentino Alto Adige,2017,5298,566,20%,11682,11688,365,1,1.08,39,30,9,23%,164,77,87,53%,498
18,BRESCIA,Nord-Ovest,Molto grande o metropolitano,Brescia,Lombardia,2017,32732,9798,44%,34292,35343,365,1,0.97,71,62,9,13%,162,127,35,22%,2084
19,BRINDISI,Sud,Medio grande,Lecce,Puglia,2017,19397,4938,35%,13947,14094,365,1,0.98,37,34,3,8%,127,126,1,1%,4099
