nro,tribunale,area,dimensione,distretto,regione,anno,pendenti,pendenti-ultra-triennali,pendenti-ultra-triennali-perc,iscritti,definiti,durata-media-giorni,durata-media-anni,clearance-rate,magistrati-pianta,magistrati-presenti,magistrati-vacanti,magistrati-tasso-scopertura,personale-pianta,personale-presenze,personale-vacanti,personale-vacanti-perc,obiettivo-ultra-triennali
1,AGRIGENTO,Isole,Medio grande,Palermo,Sicilia,2016,13366,3543,55%,10628,10626,484,1.3,1.09,32,27,5,16%,127,119,8,6%,1
2,ALESSANDRIA,Nord-Ovest,Medio grande,Torino,Piemonte,2016,9064,2305,40%,11714,12136,513,1.4,1.05,29,27,2,7%,102,81,21,21%,1
3,ANCONA,Centro,Grande,Ancona,Marche,2016,14600,3796,51%,18791,18757,404,1.1,1.01,31,24,7,23%,121,91,30,25%,1
4,AOSTA,Nord-Ovest,Piccolo,Torino,Valle d'Aosta,2016,1495,139,15%,4533,4580,317,0.9,1.04,8,8,0,0%,34,21,13,38%,1
5,AREZZO,Centro,Medio grande,Firenze,Toscana,2016,7454,1797,33%,10188,11488,594,1.6,1.15,21,17,4,19%,72,57,15,21%,1
6,ASCOLI PICENO,Centro,Medio piccolo,Ancona,Marche,2016,7109,2228,42%,5794,6579,629,1.7,1,14,13,1,7%,57,56,1,2%,1
7,ASTI,Nord-Ovest,Medio grande,Torino,Piemonte,2016,5998,1205,40%,9807,9966,271,0.7,0.99,24,22,2,8%,71,55,16,23%,1
8,AVELLINO,Sud,Medio grande,Napoli,Campania,2016,19498,7355,49%,11425,12581,796,2.2,0.92,38,34,4,11%,149,118,31,21%,1
9,AVEZZANO,Sud,Piccolo,Aquila,Abruzzo,2016,4882,1355,39%,4656,5771,735,2,1.11,11,10,1,9%,47,40,7,15%,1
10,BARCELLONA POZZO DI GOTTO,Isole,Piccolo,Messina,Sicilia,2016,14698,8037,56%,5041,6726,1005,2.8,1.21,15,11,4,27%,56,46,10,18%,1
11,BARI,Sud,Molto grande o metropolitano,Bari,Puglia,2016,68202,27448,42%,41443,47506,670,1.8,1.13,93,82,11,12%,307,259,49,16%,1
12,BELLUNO,Nord-Est,Medio piccolo,Venezia,Veneto,2016,3244,1048,47%,4066,4535,769,2.1,1.19,12,9,3,25%,43,32,11,26%,1
13,BENEVENTO,Sud,Medio grande,Napoli,Campania,2016,19440,6852,43%,12664,14229,561,1.5,0.91,35,33,2,6%,150,129,21,14%,1
14,BERGAMO,Nord-Ovest,Molto grande o metropolitano,Brescia,Lombardia,2016,22724,6840,45%,25709,26905,521,1.4,0.9,53,44,9,17%,132,99,34,25%,1
15,BIELLA,Nord-Ovest,Piccolo,Torino,Piemonte,2016,4229,992,40%,5199,5201,461,1.3,1,12,9,3,25%,39,24,15,38%,1
