nro,tribunale,area,dimensione,distretto,regione,anno,pendenti,pendenti-ultra-triennali,pendenti-ultra-triennali-perc,iscritti,definiti,durata-media-giorni,durata-media-anni,clearance-rate,magistrati-pianta,magistrati-presenti,magistrati-vacanti,magistrati-tasso-scopertura,personale-pianta,personale-presenze,personale-vacanti,personale-vacanti-perc,obiettivo-ultra-triennali
16,BOLOGNA,Nord-Est,Molto grande o metropolitano,Bologna,Emilia Romagna,2016,24457,3637,31%,33827,33956,395,1.1,1.09,78,69,9,12%,243,174,69,28%,1
17,BOLZANO,Nord-Est,Grande,Bolzano,Trentino Alto Adige,2016,5840,674,23%,12512,13150,249,0.7,1.12,39,26,13,33%,164,77,87,53%,1
18,BRESCIA,Nord-Ovest,Molto grande o metropolitano,Brescia,Lombardia,2016,33493,9742,46%,36312,36096,401,1.1,0.95,71,53,18,25%,162,127,35,22%,1
19,BRINDISI,Sud,Medio grande,Lecce,Puglia,2016,19503,4803,33%,14205,15936,504,1.4,1,37,35,2,5%,127,126,1,1%,1
20,BUSTO ARSIZIO,Nord-Ovest,Grande,Milano,Lombardia,2016,9876,2037,33%,16879,17028,434,1.2,1.02,34,30,4,12%,124,70,54,44%,1
21,CAGLIARI,Isole,Grande,Cagliari,Sardegna,2016,37883,14122,52%,27598,27869,720,2,1.17,60,51,9,15%,216,192,24,11%,1
22,CALTAGIRONE,Isole,Piccolo,Catania,Sicilia,2016,8579,4410,63%,3865,4153,1195,3.3,1.25,12,12,0,0%,47,40,7,15%,1
23,CALTANISSETTA,Isole,Piccolo,Caltanissetta,Sicilia,2016,7125,1475,56%,6270,5448,886,2.4,1.14,33,26,7,21%,108,100,8,7%,1
24,CAMPOBASSO,Sud,Piccolo,Campobasso,Molise,2016,5336,1177,40%,5751,5907,629,1.7,1.08,11,7,4,36%,58,49,9,16%,1
25,CASSINO,Centro,Medio grande,Roma,Lazio,2016,13283,3878,42%,9539,9820,570,1.6,1.03,23,17,6,26%,79,64,15,19%,1
26,CASTROVILLARI,Sud,Medio piccolo,Catanzaro,Calabria,2016,23898,10603,63%,9885,11180,1244,3.4,1.36,29,25,4,14%,100,93,7,7%,1
27,CATANIA,Isole,Molto grande o metropolitano,Catania,Sicilia,2016,74453,27246,60%,40612,40043,800,2.2,0.98,114,102,12,11%,336,277,59,18%,1
28,CATANZARO,Sud,Medio piccolo,Catanzaro,Calabria,2016,23900,7365,12%,17261,18535,262,0.7,1.05,50,34,16,32%,129,119,10,8%,1
29,CHIETI,Sud,Medio piccolo,Aquila,Abruzzo,2016,4392,635,29%,7392,7676,502,1.4,1,15,15,0,0%,115,51,64,56%,1
30,CIVITAVECCHIA,Centro,Medio piccolo,Roma,Lazio,2016,14175,4939,36%,8875,8954,888,2.4,0.9,22,15,7,32%,61,51,10,16%,1
31,COMO,Nord-Ovest,Grande,Milano,Lombardia,2016,8158,916,20%,13388,14024,391,1.1,1.09,29,26,3,10%,103,72,32,31%,1
32,COSENZA,Sud,Medio grande,Catanzaro,Calabria,2016,22467,7539,49%,13381,13752,502,1.4,1.01,38,31,7,18%,113,105,8,7%,1
33,CREMONA,Nord-Ovest,Medio grande,Brescia,Lombardia,2016,6445,1824,47%,9080,9586,572,1.6,1.1,21,18,3,14%,55,43,12,22%,1
34,CROTONE,Sud,Piccolo,Catanzaro,Calabria,2016,10249,3598,38%,5884,6339,772,2.1,1.19,23,16,7,30%,66,60,6,9%,1
35,CUNEO,Nord-Ovest,Grande,Torino,Piemonte,2016,6215,1002,30%,9514,9924,373,1,1.05,26,23,3,12%,92,84,8,9%,1
36,ENNA,Isole,Piccolo,Caltanissetta,Sicilia,2016,7039,2285,55%,4609,4672,1320,3.6,1.21,18,19,-1,-6%,60,59,1,2%,1
37,FERMO,Centro,Medio piccolo,Ancona,Marche,2016,6243,2517,62%,5727,6339,591,1.6,1.2,13,13,0,0%,51,40,11,22%,1
38,FERRARA,Nord-Est,Medio grande,Bologna,Emilia Romagna,2016,3818,352,16%,9202,9624,389,1.1,1.13,22,19,3,14%,70,65,5,7%,1
39,FIRENZE,Centro,Molto grande o metropolitano,Firenze,Toscana,2016,36445,8720,40%,33099,32053,436,1.2,1.13,85,70,15,18%,267,203,65,24%,1
40,FOGGIA,Sud,Grande,Bari,Puglia,2016,54112,24438,43%,24892,39857,653,1.8,1.65,66,48,18,27%,211,170,41,19%,1
41,FORLì,Nord-Est,Medio grande,Bologna,Emilia Romagna,2016,8248,1730,30%,10181,10672,329,0.9,1.03,22,18,4,18%,74,61,13,18%,1
42,FROSINONE,Centro,Medio piccolo,Roma,Lazio,2016,11749,3633,41%,10291,11226,524,1.4,1.12,23,21,2,9%,86,69,17,20%,1
43,GELA,Isole,Piccolo,Caltanissetta,Sicilia,2016,6407,1783,50%,3783,3656,920,2.5,1.06,14,14,0,0%,43,33,10,23%,1
44,GENOVA,Nord-Ovest,Grande,Genova,Liguria,2016,19304,2607,32%,32616,32333,272,0.7,1.02,93,83,10,11%,314,243,72,23%,1
45,GORIZIA,Nord-Est,Piccolo,Trieste,Friuli Venezia Giulia,2016,2590,489,27%,4902,4849,527,1.4,1.22,12,9,3,25%,37,29,8,22%,1
46,GROSSETO,Centro,Medio piccolo,Firenze,Toscana,2016,9187,3863,51%,7377,7941,732,2,1.29,16,14,2,13%,63,51,12,19%,1
47,IMPERIA,Nord-Ovest,Medio piccolo,Genova,Liguria,2016,6699,1929,44%,6486,6557,359,1,1,21,16,5,24%,81,65,16,20%,1
48,ISERNIA,Sud,Piccolo,Campobasso,Molise,2016,5260,2401,47%,2780,3603,909,2.5,1.4,9,8,1,11%,42,37,5,12%,1
49,IVREA,Nord-Ovest,Grande,Torino,Piemonte,2016,6893,721,20%,11463,10761,249,0.7,0.96,21,17,4,19%,58,40,18,31%,1
50,LA SPEZIA,Nord-Ovest,Medio piccolo,Genova,Liguria,2016,5620,1304,30%,7663,7844,359,1,1.03,21,17,4,19%,73,66,7,10%,1
51,LAGONEGRO,Sud,Piccolo,Potenza,Basilicata,2016,9978,4076,57%,4341,5026,985,2.7,1.35,18,16,2,11%,66,48,18,27%,1
52,LAMEZIA TERME,Sud,Piccolo,Catanzaro,Calabria,2016,11818,6631,41%,4179,5570,786,2.2,1.09,15,14,1,7%,50,48,2,4%,1
53,LANCIANO,Sud,Piccolo,Aquila,Abruzzo,2016,2309,315,35%,3076,3313,554,1.5,1.21,7,7,0,0%,23,25,-2,-9%,1
54,LANUSEI,Isole,Piccolo,Cagliari,Sardegna,2016,1548,377,47%,1202,1197,823,2.3,1.22,6,6,0,0%,26,25,1,4%,1
55,L'AQUILA,Sud,Piccolo,Aquila,Abruzzo,2016,5612,1031,32%,7630,7121,542,1.5,1,12,7,5,42%,50,42,8,16%,1
56,LARINO,Sud,Piccolo,Campobasso,Molise,2016,3875,1327,46%,3165,3239,756,2.1,1.16,8,8,0,0%,39,25,14,36%,1
57,LATINA,Centro,Grande,Roma,Lazio,2016,30317,13848,58%,15369,17175,844,2.3,1.16,40,32,8,20%,152,115,37,24%,1
58,LECCE,Sud,Grande,Lecce,Puglia,2016,40771,10370,34%,29348,31887,612,1.7,1.13,63,56,7,11%,215,210,5,2%,1
59,LECCO,Nord-Ovest,Medio grande,Milano,Lombardia,2016,5382,1334,49%,6772,6744,503,1.4,0.99,15,13,2,13%,41,27,14,34%,1
60,LIVORNO,Centro,Medio grande,Firenze,Toscana,2016,9015,2061,36%,11791,12465,409,1.1,1.06,25,22,3,12%,90,73,17,19%,1
61,LOCRI,Sud,Piccolo,Reggio Calabria,Calabria,2016,11693,4116,51%,6002,7574,834,2.3,1.44,29,17,12,41%,79,66,13,16%,1
62,LODI,Nord-Ovest,Medio grande,Milano,Lombardia,2016,5873,916,24%,9978,10345,439,1.2,1.07,17,14,3,18%,66,45,21,32%,1
63,LUCCA,Centro,Medio grande,Firenze,Toscana,2016,11875,3212,33%,12783,14473,364,1,1.01,28,27,1,4%,106,94,13,12%,1
64,MACERATA,Centro,Medio grande,Ancona,Marche,2016,10733,4470,52%,11193,12202,1038,2.8,1.13,22,20,2,9%,88,72,16,18%,1
65,MANTOVA,Nord-Ovest,Grande,Brescia,Lombardia,2016,6369,1566,41%,13812,14531,514,1.4,1.14,22,18,4,18%,63,61,2,3%,1
66,MARSALA,Isole,Medio piccolo,Palermo,Sicilia,2016,5725,1404,57%,6324,7074,1656,4.5,1.65,24,24,0,0%,84,66,18,21%,1
67,MASSA,Centro,Medio piccolo,Genova,Toscana,2016,6693,2390,51%,6709,7211,612,1.7,1.11,15,14,1,7%,67,55,12,18%,1
68,MATERA,Sud,Medio piccolo,Potenza,Basilicata,2016,9801,4358,60%,5907,7764,953,2.6,1.26,16,16,0,0%,57,59,-2,-4%,1
69,MESSINA,Isole,Medio grande,Messina,Sicilia,2016,31834,14160,43%,15369,17422,902,2.5,1.34,48,46,2,4%,167,152,15,9%,1
70,MILANO,Nord-Ovest,Molto grande o metropolitano,Milano,Lombardia,2016,82429,18562,49%,109844,113886,437,1.2,1.06,287,257,30,10%,730,505,225,31%,1
71,MODENA,Nord-Est,Grande,Bologna,Emilia Romagna,2016,15298,4027,37%,20609,21075,357,1,0.95,39,31,8,21%,106,80,27,25%,1
72,MONZA,Nord-Ovest,Molto grande o metropolitano,Milano,Lombardia,2016,20327,3537,27%,27405,28133,532,1.5,1.11,58,50,8,14%,145,104,42,29%,1
73,NAPOLI,Sud,Molto grande o metropolitano,Napoli,Campania,2016,113067,28216,24%,78819,87950,580,1.6,1.29,313,276,37,12%,885,633,252,28%,1
74,NAPOLI NORD,Sud,Molto grande o metropolitano,Napoli,Campania,2016,28243,384,1%,29325,21841,258,0.7,0.66,81,68,13,16%,147,105,42,29%,1
75,NOCERA INFERIORE,Sud,Medio grande,Salerno,Campania,2016,25278,7802,32%,15584,14586,556,1.5,0.96,30,27,3,10%,94,79,15,16%,1
76,NOLA,Sud,Grande,Napoli,Campania,2016,30673,9993,33%,17503,19301,705,1.9,1.12,50,45,5,10%,131,102,29,22%,1
77,NOVARA,Nord-Ovest,Medio grande,Torino,Piemonte,2016,7199,1690,35%,8461,8782,378,1,0.99,18,14,4,22%,64,47,17,27%,1
78,NUORO,Isole,Piccolo,Sassari,Sardegna,2016,4549,1912,52%,3356,3838,861,2.4,1.2,16,14,2,13%,50,46,4,8%,1
79,ORISTANO,Isole,Medio piccolo,Cagliari,Sardegna,2016,4469,1349,45%,4680,5337,782,2.1,1.29,17,16,1,6%,55,50,5,9%,1
80,PADOVA,Nord-Est,Grande,Venezia,Veneto,2016,18684,5549,47%,26963,28556,426,1.2,0.99,46,39,7,15%,154,132,22,14%,1
81,PALERMO,Isole,Grande,Palermo,Sicilia,2016,43711,8738,56%,41686,40738,527,1.4,1.15,128,110,18,14%,419,353,66,16%,1
82,PALMI,Sud,Piccolo,Reggio Calabria,Calabria,2016,10439,3403,64%,5901,5300,532,1.5,1.02,31,26,5,16%,92,78,14,15%,1
83,PAOLA,Sud,Piccolo,Catanzaro,Calabria,2016,9201,4051,54%,4004,5074,865,2.4,1.1,17,15,2,12%,56,49,7,13%,1
84,PARMA,Nord-Est,Grande,Bologna,Emilia Romagna,2016,12071,3814,37%,12821,13014,323,0.9,1.05,27,20,7,26%,83,64,19,23%,1
85,PATTI,Isole,Piccolo,Messina,Sicilia,2016,16755,8450,45%,5828,7523,945,2.6,1.28,18,18,0,0%,63,49,14,22%,1
86,PAVIA,Nord-Ovest,Grande,Milano,Lombardia,2016,14358,4434,46%,17781,18998,599,1.6,1.08,36,32,4,11%,131,85,46,35%,1
87,PERUGIA,Centro,Grande,Perugia ,Umbria,2016,19922,8369,54%,15151,16099,546,1.5,1.13,34,28,6,18%,125,91,34,27%,1
88,PESARO,Centro,Medio piccolo,Ancona,Marche,2016,6316,1521,40%,9158,9695,521,1.4,1.18,16,14,2,13%,63,46,17,27%,1
89,PESCARA,Sud,Medio grande,Aquila,Abruzzo,2016,11691,2920,32%,12925,13577,425,1.2,0.88,26,22,4,15%,101,82,19,19%,1
90,PIACENZA,Nord-Est,Medio piccolo,Bologna,Emilia Romagna,2016,6824,2318,51%,7549,7318,439,1.2,1.04,16,12,4,25%,55,50,5,9%,1
91,PISA,Centro,Medio grande,Firenze,Toscana,2016,13922,4974,44%,12326,12284,462,1.3,1.09,25,20,5,20%,91,83,8,9%,1
92,PISTOIA,Centro,Medio piccolo,Firenze,Toscana,2016,9168,3024,52%,8587,8836,454,1.2,0.95,20,17,3,15%,73,51,22,30%,1
93,PORDENONE,Nord-Est,Medio grande,Trieste,Friuli Venezia Giulia,2016,6109,1253,39%,8140,7384,381,1,1,20,17,3,15%,69,53,16,23%,1
94,POTENZA,Sud,Medio piccolo,Potenza,Basilicata,2016,20210,9727,45%,8641,8546,1207,3.3,1.03,34,27,7,21%,113,97,16,14%,1
95,PRATO,Centro,Medio piccolo,Firenze,Toscana,2016,7849,1773,38%,9052,9426,491,1.3,1.07,22,20,2,9%,64,45,19,30%,1
96,RAGUSA,Isole,Medio grande,Catania,Sicilia,2016,19168,7454,46%,11631,11721,1095,3,1.06,25,21,4,16%,92,80,12,13%,1
97,RAVENNA,Nord-Est,Medio grande,Bologna,Emilia Romagna,2016,6140,962,36%,9387,9780,358,1,1.09,23,19,4,17%,84,67,17,20%,1
98,REGGIO CALABRIA,Sud,Medio piccolo,Reggio Calabria,Calabria,2016,17986,5577,39%,10413,10225,652,1.8,0.87,59,40,19,32%,171,146,25,15%,1
99,REGGIO EMILIA,Nord-Est,Grande,Bologna,Emilia Romagna,2016,9809,1949,36%,14071,15361,862,2.4,1.4,27,19,8,30%,68,53,15,22%,1
100,RIETI,Centro,Piccolo,Roma,Lazio,2016,5434,1525,39%,4780,5182,638,1.7,1.16,13,11,2,15%,49,36,13,27%,1
101,RIMINI,Nord-Est,Medio grande,Bologna,Emilia Romagna,2016,7926,1020,23%,10964,10727,455,1.2,1.03,22,18,4,18%,69,49,20,29%,1
102,ROMA,Centro,Molto grande o metropolitano,Roma,Lazio,2016,164753,26655,18%,168648,171815,482,1.3,1.23,370,338,32,9%,1199,880,319,27%,1
103,ROVERETO,Nord-Est,Piccolo,Trento,Trentino Alto Adige,2016,1614,306,37%,3988,4121,350,1,1.12,9,7,2,22%,33,25,8,24%,1
104,ROVIGO,Nord-Est,Medio grande,Venezia,Veneto,2016,6461,1585,30%,10298,10823,429,1.2,1.09,19,14,5,26%,69,59,10,14%,1
105,SALERNO,Sud,Grande,Salerno,Campania,2016,52927,24459,55%,26449,29759,663,1.8,1.04,73,62,11,15%,239,187,52,22%,1
106,SANTA MARIA CAPUA VETERE,Sud,Grande,Napoli,Campania,2016,49751,23373,48%,26625,29034,492,1.3,1.05,89,78,11,12%,275,188,87,32%,1
107,SASSARI,Isole,Medio grande,Sassari,Sardegna,2016,9278,2210,44%,11407,11344,669,1.8,1.05,27,22,5,19%,94,96,-2,-2%,1
108,SAVONA,Nord-Ovest,Medio piccolo,Genova,Liguria,2016,5816,1168,35%,9010,9997,474,1.3,1.15,24,21,3,13%,91,74,18,19%,1
109,SCIACCA,Isole,Piccolo,Palermo,Sicilia,2016,3448,522,44%,3352,3422,570,1.6,1.13,10,7,3,30%,44,55,-11,-25%,1
110,SIENA,Centro,Medio piccolo,Firenze,Toscana,2016,9604,2970,39%,8745,8564,492,1.3,0.85,19,18,1,5%,63,43,20,32%,1
111,SIRACUSA,Isole,Medio grande,Catania,Sicilia,2016,21239,8097,57%,13632,13792,1030,2.8,1.16,35,28,7,20%,132,127,5,4%,1
112,SONDRIO,Nord-Ovest,Medio piccolo,Milano,Lombardia,2016,2805,603,36%,3635,3742,468,1.3,1.11,12,10,2,17%,42,38,4,10%,1
113,SPOLETO,Centro,Medio piccolo,Perugia ,Umbria,2016,6908,1809,26%,6033,5981,393,1.1,0.96,14,11,3,21%,43,33,10,23%,1
114,SULMONA,Sud,Piccolo,Aquila,Abruzzo,2016,1895,287,33%,2465,2865,592,1.6,1.15,6,6,0,0%,33,22,11,33%,1
115,TARANTO,Sud,Grande,Taranto,Puglia,2016,29741,9052,51%,25894,27745,876,2.4,1.07,59,54,5,8%,181,143,38,21%,1
116,TEMPIO PAUSANIA,Isole,Piccolo,Sassari,Sardegna,2016,9008,4492,61%,5052,5268,731,2,0.98,12,11,1,8%,43,37,6,14%,1
117,TERAMO,Sud,Medio piccolo,Aquila,Abruzzo,2016,13861,4490,38%,10875,11235,394,1.1,1.05,22,20,2,9%,78,75,3,4%,1
118,TERMINI IMERESE,Isole,Medio grande,Palermo,Sicilia,2016,8759,1811,50%,9542,8784,746,2,1.19,22,17,5,23%,89,106,-17,-19%,1
119,TERNI,Centro,Medio piccolo,Perugia ,Umbria,2016,7886,2071,36%,7137,7538,558,1.5,1.13,20,17,3,15%,75,61,14,19%,1
120,TIVOLI,Centro,Grande,Roma,Lazio,2016,16436,4736,42%,13766,14212,828,2.3,0.98,23,17,6,26%,75,65,10,13%,1
121,TORINO,Nord-Ovest,Molto grande o metropolitano,Torino,Piemonte,2016,39618,6148,36%,63864,64587,401,1.1,1.11,162,141,21,13%,485,362,123,25%,1
122,TORRE ANNUNZIATA,Sud,Grande,Napoli,Campania,2016,21367,5839,44%,15932,16202,365,1,0.96,51,47,4,8%,155,135,20,13%,1
123,TRANI,Sud,Grande,Bari,Puglia,2016,24896,8686,37%,16830,17170,690,1.9,1.16,38,32,6,16%,136,126,10,7%,1
124,TRAPANI,Isole,Medio piccolo,Palermo,Sicilia,2016,6269,920,35%,6622,7089,765,2.1,1.28,25,20,5,20%,79,79,0,0%,1
125,TRENTO,Nord-Est,Medio grande,Trento,Trentino Alto Adige,2016,6558,920,30%,12622,12039,316,0.9,0.97,21,20,1,5%,80,56,24,30%,1
126,TREVISO,Nord-Est,Grande,Venezia,Veneto,2016,19336,5467,48%,25279,25518,374,1,1.02,40,30,10,25%,110,90,20,18%,1
127,TRIESTE,Nord-Est,Medio piccolo,Trieste,Friuli Venezia Giulia,2016,5245,379,12%,10396,8882,232,0.6,0.87,27,21,6,22%,87,65,22,25%,1
128,UDINE,Nord-Est,Grande,Trieste,Friuli Venezia Giulia,2016,7673,1449,40%,12200,11820,480,1.3,1.21,36,32,4,11%,126,104,22,17%,1
129,URBINO,Centro,Piccolo,Ancona,Marche,2016,2696,951,55%,2286,2541,429,1.2,1.07,6,5,1,17%,21,15,6,29%,1
130,VALLO DELLA LUCANIA,Sud,Piccolo,Salerno,Campania,2016,10988,5308,49%,4275,3794,904,2.5,1.03,12,9,3,25%,39,27,12,31%,1
131,VARESE,Nord-Ovest,Medio grande,Milano,Lombardia,2016,8046,2263,52%,9563,9615,492,1.3,1.06,23,18,5,22%,66,49,18,27%,1
132,VASTO,Sud,Piccolo,Aquila,Abruzzo,2016,2635,711,47%,3007,3178,582,1.6,1.13,7,6,1,14%,31,27,4,13%,1
133,VELLETRI,Centro,Grande,Roma,Lazio,2016,23852,7310,43%,19240,21321,658,1.8,1.1,37,28,9,24%,139,111,28,20%,1
134,VENEZIA,Nord-Est,Grande,Venezia,Veneto,2016,20342,3957,43%,23279,21779,456,1.2,1.16,61,49,12,20%,194,147,47,24%,1
135,VERBANIA,Nord-Ovest,Medio piccolo,Torino,Piemonte,2016,2895,542,42%,4819,4849,330,0.9,0.95,14,11,3,21%,46,43,3,7%,1
136,VERCELLI,Nord-Ovest,Medio piccolo,Torino,Piemonte,2016,4227,1046,42%,6880,7344,610,1.7,1.2,19,18,1,5%,62,40,22,35%,1
137,VERONA,Nord-Est,Grande,Venezia,Veneto,2016,18416,3547,25%,27797,29449,423,1.2,1.06,51,38,13,25%,153,123,30,20%,1
138,VIBO VALENTIA,Sud,Piccolo,Catanzaro,Calabria,2016,12138,5594,32%,5291,5144,846,2.3,1.04,20,15,5,25%,63,52,11,17%,1
139,VICENZA,Nord-Est,Grande,Venezia,Veneto,2016,23716,9409,49%,19964,20850,560,1.5,1.03,42,35,7,17%,129,107,22,17%,1
140,VITERBO,Centro,Medio piccolo,Roma,Lazio,2016,10365,3220,44%,8436,8038,631,1.7,0.91,19,16,3,16%,69,59,10,14%,1
